Date,California Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),California Natural Gas Imports Price All Countries (Dollars per Thousand Cubic Feet),Price of California Natural Gas Exports (Dollars per Thousand Cubic Feet),California Natural Gas Pipeline and Distribution Use Price (Dollars per Thousand Cubic Feet),Natural Gas Citygate Price in California (Dollars per Thousand Cubic Feet),California Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),California Natural Gas % of Total Residential - Sales (%),California Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),Percent of Commercial Natural Gas Deliveries in California Represented by the Price (%),California Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Percent of Industrial Natural Gas Deliveries in California Represented by the Price (%),California Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),California Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),
1967,0.3,,,0.25,,0.93,,0.68,,,,,,
1968,0.31,,,0.24,,0.93,,0.69,,,,,,
1969,0.31,,,0.3,,0.93,,0.69,,,,,,
1970,0.32,,,0.29,,0.99,,0.73,,,,,,
1971,0.33,,,0.35,,1.03,,0.76,,,,,,
1972,0.37,,,0.35,,1.08,,0.81,,,,,,
1973,0.37,,,0.39,,1.16,,0.85,,,,,,
1974,0.44,,,0.45,,1.38,,0.99,,,,,,
1975,0.7,,,0.47,,1.57,,1.29,,,,,,
1976,0.94,,,0.69,,1.77,,1.59,,,,,,
1977,1.17,,,0.73,,1.89,,2.07,,,,,,
1978,1.36,,,0.85,,1.99,,2.24,,,,,,
1979,1.7,,,1.75,,2.47,,2.73,,,,,,
1980,2.17,,,2.16,,3.51,,3.98,,,,,,
1981,2.57,,,2.9,,3.74,,4.38,,,,,,
1982,3.09,,,3.3,,4.43,,5.32,,,,,,
1983,3.57,,,4.14,,5.41,,6.33,,,,,,
1984,3.8,,,4.13,3.97,5.84,,6.95,,,,,,
1985,3.36,,,3.7,3.54,5.72,,6.63,,,,,,
1986,2.89,,,3.56,2.76,5.14,,5.86,,,,,,
1987,2.37,,,3.02,2.39,5.26,,5.42,,,,,,
1988,2.39,,,2.55,2.6,5.64,,4.68,,,,,,
1989,2.32,,,2.39,2.75,5.59,100,4.88,,,,,,
1990,2.36,,,2.4,2.9,5.78,100,5.12,86.6,,,4.84,,
1991,2.46,,,2.19,2.8,6.27,99.7,5.5,77.8,,,5.77,,
1992,2.34,,,1.4,2.72,5.97,99.2,5.15,74.5,,,6.43,,
1993,2.38,,,0.53,2.85,6.23,99.2,6.03,76.9,,,4.76,,
1994,1.5,,,0.33,2.57,6.39,99.3,7.12,48.8,,,5.09,,
1995,1.73,,,1.01,2.03,6.42,99.4,6.21,52.1,,,5.54,,
1996,1.82,,,1.63,2.59,6.44,99.2,5.96,54.9,,,4.75,,
1997,2.41,,3.15,1.47,2.98,6.81,99.2,6.41,50.4,4.18,9,4.5,3.08,
1998,1.97,,2.58,1.93,2.38,6.92,1,6.33,48.7,3.75,10.4,4.23,2.79,
1999,2.36,,2.73,2.08,2.61,6.62,99.3,6.14,57.1,3.33,12.9,4.43,2.76,
2000,4.81,,5.97,3.62,4.32,8.21,99.1,7.54,57.1,5.29,8.7,5.92,5.88,
2001,6.93,,6.85,4.7,6.64,10.43,99.4,9.33,62.6,6.6,9.1,6.51,9.38,
2002,2.92,,3.21,,3.2,7.11,99.4,6.07,68.6,4.93,7.7,4.35,3.82,
2003,5.04,,5.25,,5.16,9.13,98.3,8.15,70.3,7.19,4.9,5.76,5.5,
2004,5.65,,5.78,,6.04,9.86,99.6,8.63,71.2,7.89,5.2,6.97,6.05,
2005,7.45,,7.91,,7.88,11.85,99.7,10.69,68.7,9.84,5.5,8.8,8.08,
2006,6.47,,6.33,,6.76,11.79,99.6,10.43,64.7,9.3,5.7,7.92,6.71,
2007,6.62,,6.53,,6.82,11.57,99.5,10.2,60.7,9.07,5.3,7.72,6.72,
2008,8.38,9.15,8.06,,8.11,12.75,99.3,11.75,56.7,10.8,5.1,11.32,8.23,
2009,3.96,2.83,3.76,,4.17,9.43,98.9,7.75,54.9,6.56,4.7,7.61,4.44,
2010,4.87,4.76,4.51,,4.86,9.92,98.5,8.3,54.1,7.02,4.6,5.55,4.99,
2011,,3.57,4.18,,4.47,9.93,98.3,8.29,54.3,7.04,4.5,7.32,4.71,
2012,,,2.9,,3.46,9.14,97.5,7.05,50,5.77,4.2,7.01,3.68,
2013,,3.59,3.89,,4.18,9.92,96.1,7.81,49.9,6.57,4,,4.53,
2014,,0,4.56,,4.88,11.51,94.8,9.05,48.4,7.65,3.7,,5.22,
2015,,,2.76,,3.27,11.39,94.9,8.04,49.9,6.41,3.8,,3.4,
2016,,3.39,2.57,,2.96,11.84,95.1,8.42,51.1,6.79,3.9,,3.16,
2017,,3.57,3.06,,3.45,12.49,95.1,8.76,52.4,7.05,4.2,,3.76,
2018,,4.71,3.19,,3.29,12.3,94.9,8.57,51.3,7.12,4.1,,4.63,
,,,,,,,,,,,,,,
