Date,New York Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),New York Natural Gas Imports Price (Dollars per Thousand Cubic Feet),New York Natural Gas Exports (Price) All Countries (Dollars per Thousand Cubic Feet),New York Natural Gas Pipeline and Distribution Use Price (Dollars per Thousand Cubic Feet),Natural Gas Citygate Price in New York (Dollars per Thousand Cubic Feet),New York Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),New York Natural Gas % of Total Residential - Sales (%),New York Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),Percent of Commercial Natural Gas Deliveries in New York Represented by the Price (%),New York Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Percent of Industrial Natural Gas Deliveries in New York Represented by the Price (%),New York Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),New York Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),
1967,0.31,,,0.26,,1.42,,1.22,,,,,,
1968,0.3,,,0.23,,1.38,,1.19,,,,,,
1969,0.3,,,0.25,,1.37,,1.19,,,,,,
1970,0.3,,,0.23,,1.4,,1.19,,,,,,
1971,0.3,,,0.25,,1.5,,1.27,,,,,,
1972,0.33,,,0.26,,1.62,,1.3,,,,,,
1973,0.35,,,0.27,,1.74,,1.37,,,,,,
1974,0.55,,,0.31,,2,,1.59,,,,,,
1975,0.74,,,0.39,,2.54,,2,,,,,,
1976,1.13,,,0.54,,2.87,,2.35,,,,,,
1977,1.16,,,0.85,,3.28,,2.85,,,,,,
1978,1.19,,,1.07,,3.68,,3.05,,,,,,
1979,1.27,,,1.44,,4.12,,3.5,,,,,,
1980,1.95,,,1.95,,4.95,,4.27,,,,,,
1981,2.67,,,2.41,,5.5,,4.73,,,,,,
1982,3.75,,,3.15,,6.51,,5.48,,,,,,
1983,3.85,,,3.44,,7.87,,6.48,,,,,,
1984,4,,,3.23,4.1,7.64,,6.25,,,,,,
1985,3.37,,,3.15,3.94,7.74,,6.11,,,,,,
1986,3.39,,,2.53,3.35,7.46,,5.77,,,,,,
1987,2,,,2.47,2.92,6.88,,5.17,,,,,,
1988,2.3,,,2.33,2.91,6.5,,5.39,,,,,,
1989,2.2,2.52,,2.64,3.07,7.22,100,5.62,,,,,,
1990,2.2,2.83,,2.59,3.05,7.4,99.2,5.59,83.6,,,4.7,,
1991,2.15,2.63,,2.71,2.92,7.35,99.2,5.47,80.7,,,4.68,,
1992,2.25,2.48,,2.86,3.01,7.58,99.3,5.75,77.7,,,5.47,,
1993,2.4,2.49,,3.15,3.32,8.15,99.2,6.16,77.2,,,4.45,,
1994,2.35,2.44,,2.21,3.02,8.75,99.3,6.51,79.6,,,3.64,,
1995,2.3,2.3,,1.52,2.47,8.42,99.1,6.1,76.2,,,2.13,,
1996,,2.94,,2.23,3.36,8.9,99,6.88,77,,,5.47,,
1997,2.56,2.9,,1.89,4.2,9.73,98.8,6.49,64.7,5.05,12.7,4.14,2.88,
1998,2.56,2.55,,1.38,2.65,9.59,1,6.08,53.1,4.02,8.3,6.66,2.57,
1999,2.16,2.61,,1.31,2.92,9.12,91.9,5.15,57.2,3.9,14.3,5.14,2.85,
2000,3.75,4.16,,2.25,4.67,9.86,88.9,7.77,40.1,6.14,11.3,5.84,4.68,
2001,5,4.75,2.49,2.94,4.71,11.75,87.8,9.61,45.7,7.72,10.8,6.69,4.12,
2002,3.03,3.59,5,,3.9,9.85,100,6.42,100,5.53,11,5.29,4.06,
2003,5.78,5.79,6.9,,5.73,11.59,100,8.6,100,7.35,10.6,7.3,6.22,
2004,6.98,6.44,6.99,,6.36,12.5,100,10.11,100,8.05,10.7,8.45,6.65,
2005,7.78,9.11,,,8.22,14.89,100,11.8,100,10.76,14.7,11.52,9.24,
2006,7.13,7.5,,,9.22,15.35,100,11.91,100,10.56,11.7,13.1,7.75,
2007,8.85,7.43,12.07,,9.02,15.73,100,11.82,100,11.43,12.3,13.45,8.09,
2008,8.94,9.36,,,10.07,16.78,100,12.86,100,12.3,11.4,18.54,10.85,
2009,4.21,4.67,,,7.35,15.05,100,10.72,100,9.52,11.7,11.87,5.26,
2010,4.65,5.43,,,6.86,14.04,100,10.88,100,8.55,10.6,8.32,5.73,
2011,,4.96,4.69,,6.04,13.71,100,9.32,100,8.18,7.9,9.81,5.56,
2012,,3.83,3.61,,5.35,12.97,100,7.84,100,6.92,6.8,21,3.95,
2013,,5.59,4.29,,5.02,12.49,100,8,100,7.44,6.3,,5.26,
2014,,8.6,5.56,,5.47,12.54,100,8.31,100,8.13,6.1,,5.42,
2015,,4.98,3.06,,4.15,11.2,100,6.86,100,6.62,6.2,,3.51,
2016,,3.12,2.5,,3.57,10.84,100,6.19,100,5.92,5.8,,2.76,
2017,,4.13,2.94,,4.29,12.04,100,6.87,100,7.21,5.8,,3.46,
2018,,4.47,3.03,,4.87,12.37,100,7.36,100,7.83,5.8,,3.87,
,,,,,,,,,,,,,,
