Date,Texas Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Texas Natural Gas Imports Price (Dollars per Thousand Cubic Feet),Price of Texas Natural Gas Exports (Dollars per Thousand Cubic Feet),Texas Natural Gas Pipeline and Distribution Use Price (Dollars per Thousand Cubic Feet),Natural Gas Citygate Price in Texas (Dollars per Thousand Cubic Feet),Texas Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),Texas Natural Gas % of Total Residential - Sales (%),Texas Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),Percent of Commercial Natural Gas Deliveries in Texas Represented by the Price (%),Texas Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Percent of Industrial Natural Gas Deliveries in Texas Represented by the Price (%),Texas Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),Texas Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),
1967,0.13,,,0.16,,0.87,,0.44,,,,,,
1968,0.14,,,0.17,,0.87,,0.44,,,,,,
1969,0.14,,,0.17,,0.9,,0.46,,,,,,
1970,0.14,,,0.17,,0.92,,0.45,,,,,,
1971,0.16,,,0.18,,0.99,,0.5,,,,,,
1972,0.16,,,0.19,,1.01,,0.52,,,,,,
1973,0.2,,,0.2,,1.04,,0.56,,,,,,
1974,0.31,,,0.28,,1.17,,0.71,,,,,,
1975,0.52,,,0.37,,1.52,,1.05,,,,,,
1976,0.72,,,0.51,,1.99,,1.42,,,,,,
1977,0.9,,,0.68,,2.39,,1.8,,,,,,
1978,0.99,,,0.73,,2.73,,2.2,,,,,,
1979,1.23,,,1.19,,3.21,,2.84,,,,,,
1980,1.56,,,1.56,,3.4,,2.99,,,,,,
1981,1.87,,,2.24,,4.2,,3.68,,,,,,
1982,2.17,,,3.09,,5.21,,4.49,,,,,,
1983,2.36,,,3.11,,5.55,,5.05,,,,,,
1984,2.45,,,2.98,3.91,5.82,,5.07,,,,,,
1985,2.33,,,2.8,3.43,5.77,,4.88,,,,,,
1986,1.65,,,2.18,2.55,5.31,,4.17,,,,,,
1987,1.47,,,2.01,2.52,5.21,,4.26,,,,,,
1988,1.51,,,1.98,3.05,5.37,,4.19,,,,,,
1989,1.53,,2.04,1.81,3.33,5.55,100,4.11,,,,,,
1990,1.57,,1.82,1.74,3.14,5.78,99,4.14,89.8,,,3.09,,
1991,1.59,,1.75,1.62,2.88,5.71,99.9,4.01,89.3,,,5.49,,
1992,1.77,,1.92,1.66,3.06,5.78,99.9,4.09,79.7,,,4.53,,
1993,2.09,1.94,2.1,1.82,3.32,5.91,100,4.45,83.8,,,5.03,,
1994,1.89,1.99,1.68,1.64,3,5.99,100,4.33,82.4,,,3.41,,
1995,1.61,1.53,1.49,1.64,2.95,5.92,100,4.09,68.6,,,2.88,,
1996,2.29,2.25,2.13,2.4,3.22,5.89,100,4.27,83.5,,,3.34,,
1997,2.48,2.31,2.46,2.36,3.66,6.32,100,4.91,61.4,2.8,17.2,3.17,2.69,
1998,2.06,2.03,2.03,2.02,2.63,6.16,1,4.44,81,2.33,14.1,1.77,2.3,
1999,2.31,2.14,2.24,1.99,2.84,6.09,100,4.42,77.3,2.56,23.7,3.17,2.51,
2000,3.93,5.43,4,2.99,4.39,7.41,100,5.67,79,4.1,29.6,3.97,4.24,
2001,4.12,5,3.86,3.13,5.13,8.9,100,6.48,88.4,4.46,35,7.95,4.32,
2002,3.16,2.36,3.32,,3.86,7.29,100,5.49,71.8,3.4,43,5.67,3.41,
2003,5.18,,5.36,,5.53,9.22,100,7.59,73.7,5.36,43.9,8.09,5.47,
2004,5.83,,5.93,,6.03,10.37,100,8.36,74.6,5.91,48.8,8.58,5.9,
2005,7.55,8.46,7.69,,8.09,12.48,100,10.47,79.5,7.62,54.6,10.52,8.12,
2006,6.6,5.65,6.54,,7.6,13.11,100,10.25,82,6.69,55.4,10.07,6.55,
2007,6.98,6.55,6.61,,7.84,12,100,9.77,81.9,6.76,54.7,9.76,6.77,
2008,8.51,8.33,8.39,,9.2,13.75,100,11.25,82.5,8.96,50.4,11.53,8.91,
2009,3.81,4.08,3.91,,5.59,11.19,100,8.15,78.3,4.05,47.2,4.88,3.96,
2010,4.7,6.72,4.68,,5.89,10.82,100,7.9,76.4,4.61,48.6,5.38,4.66,
2011,,6.78,4.44,,5.39,10.21,99.7,7.07,73.4,4.21,39,7.03,4.36,
2012,,10.09,3.14,,4.3,10.55,99.7,6.63,72.4,3.02,39.4,10.14,2.99,
2013,,12.94,3.94,,4.89,10.5,99.7,7.25,72.8,3.92,41.7,,3.94,
2014,,11.79,4.67,,5.77,11.16,99.8,8.26,72.6,4.71,40.3,,4.62,
2015,,13.31,2.97,,4.19,10.64,99.8,6.92,72.2,2.89,39.6,,2.88,
2016,,1.5,2.64,,4.09,11.73,99.8,6.89,70.7,2.65,40.1,,2.67,
2017,,2.12,3.3,,4.8,13.61,99.8,7.71,70.2,3.28,39.6,,3.18,
2018,,6.28,3.41,,5.04,11.42,99.8,6.55,75.2,3.42,36.4,,3.17,
,,,,,,,,,,,,,,
