Date,Utah Natural Gas Wellhead Price (Dollars per Thousand Cubic Feet),Utah Natural Gas Pipeline and Distribution Use Price (Dollars per Thousand Cubic Feet),Natural Gas Citygate Price in Utah (Dollars per Thousand Cubic Feet),Utah Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet),Utah Natural Gas % of Total Residential - Sales (%),Utah Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet),Percent of Commercial Natural Gas Deliveries in Utah Represented by the Price (%),Utah Natural Gas Industrial Price (Dollars per Thousand Cubic Feet),Percent of Industrial Natural Gas Deliveries in Utah Represented by the Price (%),Utah Natural Gas Vehicle Fuel Price (Dollars per Thousand Cubic Feet),Utah Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet),
1967,0.13,0.21,,0.68,,0.56,,,,,,
1968,0.16,0.21,,0.74,,0.57,,,,,,
1969,0.15,0.21,,0.83,,0.58,,,,,,
1970,0.15,0.21,,0.85,,0.59,,,,,,
1971,0.17,0.22,,0.87,,0.64,,,,,,
1972,0.17,0.28,,0.9,,0.71,,,,,,
1973,0.19,0.29,,0.99,,0.8,,,,,,
1974,0.41,0.34,,1.07,,0.93,,,,,,
1975,0.48,0.54,,1.22,,1.52,,,,,,
1976,0.5,0.67,,1.38,,1.53,,,,,,
1977,0.61,1.4,,1.64,,1.73,,,,,,
1978,0.64,1.72,,1.93,,1.67,,,,,,
1979,0.72,1.88,,2.22,,2.33,,,,,,
1980,1.12,2.94,,2.74,,5.59,,,,,,
1981,1.1,3.17,,3.23,,5.35,,,,,,
1982,3.06,2.67,,3.41,,3.43,,,,,,
1983,3.4,2.94,,4.26,,4.32,,,,,,
1984,4.08,2.99,3.9,5.68,,4.96,,,,,,
1985,3.52,3.19,3.75,4.86,,4.91,,,,,,
1986,2.9,2.93,3.49,4.64,,4.73,,,,,,
1987,1.88,2.66,3.14,4.97,,4.98,,,,,,
1988,2.39,2.84,3.14,5.11,,4.08,,,,,,
1989,1.58,2.18,3.59,5.14,100,4.16,,,,,,
1990,1.7,2.25,3.91,5.28,100,4.3,100,,,6.85,,
1991,1.54,2.51,3.89,5.44,100,4.5,100,,,5.52,,
1992,1.63,2.25,4.09,5.44,100,4.4,100,,,5.42,,
1993,1.77,1.91,2.63,5.13,100,4.06,100,,,5.27,,
1994,1.54,1.94,3.31,4.96,100,3.84,83.3,,,4.9,,
1995,1.15,1.57,2.88,4.74,100,3.64,81.8,,,4.73,,
1996,1.39,1.68,2.25,4.47,100,3.38,81.9,,,4.49,,
1997,1.86,2.2,2.79,5.13,100,3.92,83.2,2.55,8.9,5.37,2.09,
1998,1.73,2.05,3.22,5.57,1,4.35,82.5,3,8.6,5.42,2.11,
1999,1.93,1.92,2.98,5.37,100,4.13,82.9,2.94,9.5,5.32,2.65,
2000,3.28,3.19,3.68,6.2,100,4.92,83.9,3.93,10,5.72,4.02,
2001,3.52,2.97,5.61,8.09,100,6.78,84.4,5.29,10.4,7.24,4.88,
2002,1.99,,4.07,6.39,100,5.2,83.7,3.91,13.6,6.33,4.47,
2003,4.11,,4.74,7.33,100,5.95,84.4,5.04,13.6,7.09,,
2004,5.24,,5.68,8.12,100,6.75,84.4,5.9,19.8,7.81,,
2005,7.16,,7.58,9.71,100,8.23,86.8,7.33,19.5,9.1,,
2006,5.49,,8.42,11.02,100,9.61,86.8,8.02,20.1,10.55,,
2007,,,7.29,9.44,100,8.03,86.9,6.35,14.1,8.33,,
2008,6.15,,7.62,9,100,7.74,86.4,7.21,12.7,8.08,,
2009,3.38,,6.76,8.95,100,7.57,85.6,5.62,12.2,10.01,,
2010,4.23,,5.53,8.22,100,6.83,86.2,5.57,12.1,11.61,,
2011,,,5.68,8.44,100,7.05,86.7,5.5,12.7,13.01,,
2012,,,5.5,8.7,100,7,83.9,4.69,11,15.02,3.04,
2013,,,5.7,8.55,100,7.13,81.8,5.22,11.1,,4.1,
2014,,,5.74,9.48,100,7.71,78.3,5.87,10.5,,,
2015,,,5.7,9.72,100,7.97,77,5.93,7.5,,,
2016,,,5.15,9.12,100,7.43,76.1,5.52,5.5,,,
2017,,,5.3,9.05,100,7.4,72.6,5.51,4.1,,,
2018,,,,,100,7.37,,5.49,2.8,,3.23,
,,,,,,,,,,,,
